id,title,description,availability,condition,price,link,image_link,brand,google_product_category,product_type
potato-wedges,Potato Wedges,Sides · $4.99,in stock,new,4.99 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/potato-wedges.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
poundo-yam-wrap,Poundo yam wrap,Sides · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/poundo-yam-wrap.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
white-rice,White Rice,Sides · $10,in stock,new,10.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/white-rice.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
beegold-kuli-chips,Beegold Kuli Chips,Snacks · $10,in stock,new,10.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/beegold-kuli-chips.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
butter-chin-chin,Butter Chin Chin,Snacks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/butter-chin-chin.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
candied-peanuts,Candied Peanuts,Snacks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/candied-peanuts.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
chin-chin-diamond-cut,Chin Chin — Diamond cut,Snacks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/chin-chin-diamond-cut.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
chin-chin-flakes,Chin Chin — Flakes,Snacks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/chin-chin-flakes.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
chin-chin-peppered,Chin Chin — Peppered,Snacks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/chin-chin-peppered.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
chin-chin-strips,Chin Chin — Strips,Snacks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/chin-chin-strips.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
chukchuk,Chukchuk,Snacks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/chukchuk.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
coconut-candy-1,Coconut Candy 1,Snacks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/coconut-candy-1.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
coconut-clusters,Coconut Clusters,Snacks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/coconut-clusters.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
gurundi,Gurundi,Snacks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/gurundi.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
kokoro,Kokoro,Snacks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/kokoro.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
mcvities-butter-shortbread,McVitie's Butter Shortbread,Snacks · $7,in stock,new,7.00 CAD,https://ordernow.flosgrill.ca,https://raw.githubusercontent.com/lanreflo-pixel/flosgrill-ad-assets/main/menu/mcvities-butter-shortbread.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
